,precision,recall,f1-score,support
Aloo gobi,1,1,1,7
Bhindi fry,0.846153846,1,0.916666667,11
Ras malai,1,0.928571429,0.962962963,14
bbq,1,0.25,0.4,4
biryani,0.6875,0.916666667,0.785714286,12
brownie,0.833333333,1,0.909090909,10
butter_chicken,0.833333333,0.5,0.625,10
chai,1,1,1,12
chapati,0.533333333,0.8,0.64,10
chicken_tikka,0.5625,0.818181818,0.666666667,11
french_fries,0.727272727,1,0.842105263,8
fried_rice,1,0.733333333,0.846153846,15
haleem,0.75,0.857142857,0.8,7
omelette,0.857142857,0.6,0.705882353,10
paratha,0.733333333,0.55,0.628571429,20
paratha_roll,0.833333333,0.769230769,0.8,13
samosa,0.8,0.666666667,0.727272727,6
accuracy,0.794444444,0.794444444,0.794444444,0.794444444
macro avg,0.823366829,0.787634914,0.77976983,180
weighted avg,0.820471126,0.794444444,0.789392594,180
,,,,
