,precision,recall,f1-score,support
Aloo gobi,0.833333333,0.833333333,0.833333333,6
Bhindi fry,1,0.777777778,0.875,9
Ras malai,1,0.916666667,0.956521739,12
bbq,1,1,1,6
biryani,0.769230769,0.909090909,0.833333333,11
brownie,0.875,1,0.933333333,7
butter_chicken,0.818181818,0.692307692,0.75,13
chai,1,1,1,8
chapati,0.666666667,0.533333333,0.592592593,15
chicken_tikka,0.714285714,0.833333333,0.769230769,6
french_fries,1,1,1,13
fried_rice,0.666666667,1,0.8,12
haleem,1,0.714285714,0.833333333,7
omelette,0.8,0.8,0.8,10
paratha,0.76,0.826086957,0.791666667,23
paratha_roll,0.916666667,0.785714286,0.846153846,14
samosa,0.875,0.875,0.875,8
accuracy,0.838888889,0.838888889,0.838888889,0.838888889
macro avg,0.864413626,0.852760588,0.852323467,180
weighted avg,0.849010832,0.838888889,0.837751972,180
