,precision,recall,f1-score,support
Aloo gobi,1.0,1.0,1.0,10.0
Bhindi fry,1.0,1.0,1.0,10.0
Ras malai,1.0,1.0,1.0,10.0
bbq,0.9,0.9,0.9,10.0
biryani,0.9,0.9,0.9,10.0
brownie,1.0,1.0,1.0,10.0
butter_chicken,0.8333333333333334,1.0,0.9090909090909091,10.0
chai,1.0,1.0,1.0,10.0
chapati,0.7272727272727273,0.8,0.7619047619047619,10.0
chicken_tikka,0.8888888888888888,0.8,0.8421052631578947,10.0
french_fries,1.0,1.0,1.0,10.0
fried_rice,0.9,0.9,0.9,10.0
haleem,0.8181818181818182,0.9,0.8571428571428571,10.0
omelette,1.0,0.8,0.8888888888888888,10.0
paratha,0.875,0.7,0.7777777777777778,10.0
paratha_roll,0.9090909090909091,1.0,0.9523809523809523,10.0
samosa,1.0,1.0,1.0,10.0
accuracy,0.9235294117647059,0.9235294117647059,0.9235294117647059,0.9235294117647059
macro avg,0.9265745692216281,0.9235294117647059,0.92289949472612,170.0
weighted avg,0.926574569221628,0.9235294117647059,0.9228994947261202,170.0
