,precision,recall,f1-score,support
Aloo gobi,1,1,1,10
Bhindi fry,1,1,1,10
Ras malai,1,1,1,10
bbq,1,0.9,0.947368421,10
biryani,0.9,0.9,0.9,10
brownie,1,1,1,10
butter_chicken,1,1,1,10
chai,1,1,1,10
chapati,0.888888889,0.8,0.842105263,10
chicken_tikka,0.9,0.9,0.9,10
french_fries,1,1,1,10
fried_rice,0.9,0.9,0.9,10
haleem,0.833333333,1,0.909090909,10
omelette,1,1,1,10
paratha,0.875,0.7,0.777777778,10
paratha_roll,0.909090909,1,0.952380952,10
samosa,0.909090909,1,0.952380952,10
accuracy,0.947058824,0.947058824,0.947058824,0.947058824
macro avg,0.947964944,0.947058824,0.94594731,170
weighted avg,0.947964944,0.947058824,0.94594731,170
