,precision,recall,f1-score,support
Aloo gobi,1,1,1,7
Bhindi fry,0.916666667,1,0.956521739,11
Ras malai,1,0.928571429,0.962962963,14
bbq,1,0.5,0.666666667,4
biryani,0.5625,0.75,0.642857143,12
brownie,1,1,1,10
butter_chicken,0.75,0.6,0.666666667,10
chai,1,1,1,12
chapati,0.636363636,0.7,0.666666667,10
chicken_tikka,0.9,0.818181818,0.857142857,11
french_fries,1,0.875,0.933333333,8
fried_rice,1,0.866666667,0.928571429,15
haleem,0.583333333,1,0.736842105,7
omelette,0.8,0.8,0.8,10
paratha,0.8125,0.65,0.722222222,20
paratha_roll,0.857142857,0.923076923,0.888888889,13
samosa,0.857142857,1,0.923076923,6
accuracy,0.844444444,0.844444444,0.844444444,0.844444444
macro avg,0.863273491,0.847735108,0.844259977,180
weighted avg,0.862311207,0.844444444,0.845764845,180
